STT (cột 1)	STT của chương (cột 2)	Tên chương (cột 3)	Mã liên kết (cột 4)	Tên kỹ thuật (cột 5)	
827	129	3. Hô hấp 	2.1	Chọc tháo dịch màng phổi	
828	130	3. Hô hấp 	2.432	"Chọc hút mủ màng phổi, ổ áp xe phổi dưới hướng dẫn của siêu âm"	
829	131	3. Hô hấp 	2.6	Chọc dò trung thất dưới hướng dẫn của chụp cắt lớp vi tính	
830	132	3. Hô hấp 	2.433	"Chọc hút mủ màng phổi, ổ áp xe phổi dưới hướng dẫn của chụp cắt lớp vi tính"	
831	133	3. Hô hấp 	1.81; 2.14 	Đánh giá mức độ nặng của cơn hen phế quản bằng lưu lượng đỉnh kế (peak flow meter)	
832	134	3. Hô hấp 	1.69	Đặt mặt nạ thanh quản	
833	135	3. Hô hấp 	2.13	"Đặt dẫn lưu màng phổi, ổ áp xe phổi dưới hướng dẫn của chụp cắt lớp vi tính"	
834	136	3. Hô hấp 	2.25	Gây dính màng phổi bằng thuốc hoặc hóa chất qua dẫn lưu màng phổi	
835	137	3. Hô hấp 	2.3	Kỹ thuật gây khạc đờm bằng khí dung nước muối ưu trương	
836	138	3. Hô hấp 	2.64	Sinh thiết màng phổi kín	
837	139	3. Hô hấp 	"2.50, 20.31 "	Nội soi phế quản ống mềm lấy dị vật	
838	140	3. Hô hấp 	2.37	Nội soi phế quản ống mềm siêu âm	
839	141	3. Hô hấp 	20.2	"Nội soi phế quản ống mềm đặt Stent khí, phế quản"	
840	142	3. Hô hấp 	"2.41, 20.18 "	Nội soi phế quản ống mềm cắt đốt u hoặc sẹo nội phế quản bằng điện đông cao tần	
841	143	3. Hô hấp 	"2.35, 20.23 "	Nội soi phế quản ống mềm điều trị u hoặc sẹo hẹp khí phế quản bằng áp lạnh	
842	144	3. Hô hấp 	2.57	Nội soi phế quản ống mềm điều trị u hoặc sẹo hẹp khí phế quản bằng đông tương argon	
843	145	3. Hô hấp 	2.56	Nội soi phế quản ống mềm điều trị u hoặc sẹo hẹp khí phế quản bằng laser	
					
844	146	3. Hô hấp 	"2.46, 20.26 "	Nội soi phế quản ống cứng chẩn đoán	
845	147	3. Hô hấp 	15254	Nội soi phế quản ống cứng sinh thiết u	
846	148	3. Hô hấp 	"2.34, 3.2323 "	"Nong khí quản, phế quản bằng nội soi ống cứng"	
847	149	3. Hô hấp 	"2.42, 20.21 "	"Nội soi phế quản ống cứng đặt Stent khí, phế quản"	
848	150	3. Hô hấp 	2.35	Nội soi phế quản ống cứng điều trị u hoặc sẹo hẹp khí phế quản bằng áp lạnh	
849	151	3. Hô hấp 	2.57	Nội soi phế quản ống cứng điều trị u hoặc sẹo hẹp khí phế quản bằng đông tương argon	
850	152	3. Hô hấp 	2.56	Nội soi phế quản ống cứng điều trị u hoặc sẹo hẹp khí phế quản bằng laser	
851	153	3. Hô hấp 	"2.44, 20.19 "	"Nội soi phế quản ống cứng cắt đốt u hoặc sẹo hẹp trong lòng khí, phế quản bằng điện đông cao tần"	
852	154	3. Hô hấp 	2.61	Rút ống dẫn lưu màng phổi/ống dẫn lưu ổ áp xe	
853	155	3. Hô hấp 	2.63	Siêu âm màng phổi	
854	156	3. Hô hấp 	2.66	Sinh thiết u phổi dưới hướng dẫn chụp cắt lớp vi tính	
855	157	3. Hô hấp 	2434	Sinh thiết u trung thất dưới hướng dẫn chụp cắt lớp vi tính	
856	158	3. Hô hấp 	1.89	Đặt canuyn mở khí quản hai nòng	
857	159	3. Hô hấp 		Phẫu thuật cắt phổi không điển hình do bệnh lý	
858	160	3. Hô hấp 		Phẫu thuật cắt đoạn xương sườn (trên 3 xương)	
859	161	3. Hô hấp 		Phẫu thuật nội soi lấy máu cục màng phổi	
860	162	3. Hô hấp 		Phẫu thuật nội soi xử trí tràn máu hoặc tràn khí màng phổi	
861	163	3. Hô hấp 		Phẫu thuật nội soi sinh thiết màng phổi	
862	164	3. Hô hấp 		Phẫu thuật nội soi hỗ trợ (VATS) điều trị bệnh lý phổi và hoặc trung thất	
863	165	3. Hô hấp 		Phẫu thuật nội soi lấy hạch trung thất sinh thiết	
864	166	3. Hô hấp 	2.12	Đặt dẫn lưu khoang màng phổi có tạo đường hầm (indwelling catherter)	
865	167	3. Hô hấp 	2.13	Điều chỉnh ống dẫn lưu màng phổi dưới hướng dẫn của chụp cắt lớp vi tính	
866	168	3. Hô hấp 		Đo sức cản đường dẫn khí bằng phương pháp gián đoạn luồng khí (Rint)	
867	169	3. Hô hấp 	2.612	Đo nồng độ nitric oxide mũi (nNO)	
868	170	3. Hô hấp 		Đo áp lực hít vào qua mũi (SNIP)	
869	171	3. Hô hấp 	3.5	Liệu pháp khí NO	
870	172	3. Hô hấp 		Khí dung kiềm nóng	
871	173	3. Hô hấp 	2.32	Kỹ thuật gây khạc đờm bằng máy khí dung siêu âm	
872	174	3. Hô hấp 	2.27	Nội soi phế quản đặt COIL điều trị bệnh phổi tắc nghẽn mạn tính	
873	175	3. Hô hấp 	2.27	Nội soi làm tắc phế quản điều trị ho ra máu	
874	176	3. Hô hấp 	2.34	"Nong khí quản, phế quản bằng nội soi ống mềm"	
875	177	3. Hô hấp 	2.47	Nội soi ống mềm định vị sinh thiết phổi xuyên thành phế quản dưới màn huỳnh quang tăng sáng	
					
876	178	3. Hô hấp 		Nội soi ống cứng áp Mytomicin thanh - khí quản ở trẻ em	
877	179	3. Hô hấp 		Đặt ống chữ T silicone thanh khí quản ở trẻ em	
878	180	3. Hô hấp 		Rút ống chữ T silicone thanh khí quản ở trẻ em	
879	181	3. Hô hấp 		Phẫu thuật nội soi bằng Robot điều trị các bệnh lý trong lồng ngực	
880	1	4. Tiêu hóa 	10.414	Mở ngực thăm dò	
881	2	4. Tiêu hóa 	3.3297; 10.416 	Mở thông dạ dày	
882	3	4. Tiêu hóa 	10.511	Dẫn lưu hoặc mở thông manh tràng	
883	4	4. Tiêu hóa 	10.417	Đưa thực quản ra ngoài	
884	5	4. Tiêu hóa 	10.42	Lấy dị vật thực quản đường cổ	
885	6	4. Tiêu hóa 	10.421	Lấy dị vật thực quản đường ngực	
886	7	4. Tiêu hóa 	10.422	Lấy dị vật thực quản đường bụng	
887	8	4. Tiêu hóa 	10.449	Tạo hình tại chỗ sẹo hẹp thực quản đường cổ	
888	9	4. Tiêu hóa 	3.3332; 10.509 	Dẫn lưu áp xe ruột thừa	
889	10	4. Tiêu hóa 	10.616	Dẫn lưu áp xe gan	
890	11	4. Tiêu hóa 	10.419	Khâu lỗ thủng hoặc vết thương thực quản	
891	12	4. Tiêu hóa 	10.423	Đóng rò thực quản	
892	13	4. Tiêu hóa 	10.465	Khâu cầm máu ổ loét dạ dày	
893	14	4. Tiêu hóa 	10.469	Mở cơ môn vị	
894	15	4. Tiêu hóa 	10.47	Tạo hình môn vị	
895	16	4. Tiêu hóa 	10.471	Mở dạ dày xử lý tổn thương	
896	17	4. Tiêu hóa 	10.484	Đẩy bã thức ăn xuống đại tràng	
897	18	4. Tiêu hóa 	10.493	Đóng mở thông ruột non	
898	19	4. Tiêu hóa 	10.526	Lấy dị vật trực tràng	
899	20	4. Tiêu hóa 	10.424	Đóng lỗ rò thực quản – khí quản	
900	21	4. Tiêu hóa 	10.443	Phẫu thuật điều trị teo thực quản	
901	22	4. Tiêu hóa 	3.3266; 10.442 	Phẫu thuật điều trị thực quản đôi	
902	23	4. Tiêu hóa 	27.138	Phẫu thuật nội soi tạo hình thực quản bằng dạ dày	
903	24	4. Tiêu hóa 	27.139	Phẫu thuật nội soi tạo hình thực quản bằng đại tràng	
904	25	4. Tiêu hóa 	10.448	Tạo van chống trào ngược dạ dày – thực quản	
905	26	4. Tiêu hóa 	27.317	Phẫu thuật nội soi khâu hẹp lỗ thực quản + tạo hình tâm vị kiểu Lortat - Jacob	
906	27	4. Tiêu hóa 	27.318	Phẫu thuật nội soi khâu hẹp lỗ thực quản + tạo hình tâm vị kiểu Dor	
907	28	4. Tiêu hóa 	27.319	Phẫu thuật nội soi khâu hẹp lỗ thực quản + tạo hình tâm vị kiểu Toupet	
908	29	4. Tiêu hóa 	27.32	Phẫu thuật nội soi khâu hẹp lỗ thực quản + tạo hình tâm vị kiểu Nissen	
909	30	4. Tiêu hóa 	10.1115	Phẫu thuật đặt Stent thực quản	
910	31	4. Tiêu hóa 	27.14	Phẫu thuật nội soi cố định dạ dày	
911	32	4. Tiêu hóa 	27.142	Phẫu thuật nội soi khâu thủng dạ dày	
					
912	33	4. Tiêu hóa 	27.144	Phẫu thuật nội soi khâu vết thương dạ dày	
913	34	4. Tiêu hóa 	27.174	Phẫu thuật nội soi khâu thủng ruột non + đưa ruột non ra da trên dòng	
914	35	4. Tiêu hóa 	27.148	Phẫu thuật nội soi cắt thân thần kinh X	
915	36	4. Tiêu hóa 	27.149	Phẫu thuật nội soi cắt thần kinh X chọn lọc	
916	37	4. Tiêu hóa 	27.15	Phẫu thuật nội soi cắt thần kinh X siêu chọn lọc	
917	38	4. Tiêu hóa 	27.154	Phẫu thuật nội soi cắt dạ dày không điển hình	
918	39	4. Tiêu hóa 	27.309	Phẫu thuật nội soi cắt dạ dày hình ống	
919	40	4. Tiêu hóa 	27.152	Phẫu thuật nội soi nối dạ dày - hỗng tràng	
920	41	4. Tiêu hóa 	27.146	Phẫu thuật nội soi qua dạ dày cắt polyp dạ dày (Intraluminal Lap Surgery)	
921	42	4. Tiêu hóa 	27.158	Phẫu thuật nội soi cắt toàn bộ dạ dày + cắt lách	
922	43	4. Tiêu hóa 	27.308	Phẫu thuật nội soi đặt vòng thắt dạ dày	
923	44	4. Tiêu hóa 	27.5	Phẫu thuật nội soi tạo hình môn vị	
924	45	4. Tiêu hóa 	10.505	Các phẫu thuật tá tràng khác	
925	46	4. Tiêu hóa 	27.17	Phẫu thuật nội soi cắt túi thừa tá tràng	
926	47	4. Tiêu hóa 	27.171	Phẫu thuật nội soi cắt đoạn tá tràng	
927	48	4. Tiêu hóa 	27.183	Phẫu thuật nội soi tháo lồng ruột và cố định manh tràng	
928	49	4. Tiêu hóa 	27.184	Phẫu thuật nội soi cắt túi thừa Meckel	
929	50	4. Tiêu hóa 	27.185	Phẫu thuật nội soi cắt đoạn ruột non	
930	51	4. Tiêu hóa 	27.186	Phẫu thuật nội soi cắt gần toàn bộ ruột non	
931	52	4. Tiêu hóa 	27.305	Phẫu thuật nội soi cắt u mạc treo ruột + cắt đoạn ruột non	
932	53	4. Tiêu hóa 	27.306	Phẫu thuật nội soi cắt nang mạc treo ruột	
933	54	4. Tiêu hóa 	27.311	Phẫu thuật nội soi đổi dòng tá tràng	
934	55	4. Tiêu hóa 	27.312	Phẫu thuật nội soi đảo dòng tụy mật	
935	56	4. Tiêu hóa 	10.491	Gỡ dính sau mổ lại	
936	57	4. Tiêu hóa 	10.482	Tháo xoắn ruột non	
937	58	4. Tiêu hóa 	10.494	Nối tắt ruột non - đại tràng hoặc trực tràng	
938	59	4. Tiêu hóa 	10.495	Nối tắt ruột non - ruột non	
939	60	4. Tiêu hóa 	10.453	Nối vị tràng	
940	61	4. Tiêu hóa 	10.712	Lấy u phúc mạc	
941	62	4. Tiêu hóa 	10.713	Lấy u sau phúc mạc	
942	63	4. Tiêu hóa 	10.499	Khâu vết thương tĩnh mạch mạc treo tràng trên	
943	64	4. Tiêu hóa 	10.5	Khâu vết thương động mạch mạc treo tràng trên	
944	65	4. Tiêu hóa 	10.599	Tạo hình tĩnh mạch gan - chủ dưới	
945	66	4. Tiêu hóa 	10.603	Lấy huyết khối tĩnh mạch cửa	
946	67	4. Tiêu hóa 	10.501	Bắc cầu động mạch mạc treo tràng trên bằng đoạn tĩnh mạch hiển hoặc đoạn mạch nhân tạo	
947	68	4. Tiêu hóa 	10.604	Các loại phẫu thuật phân lưu cửa chủ	
948	69	4. Tiêu hóa 	27.172	Phẫu thuật nội soi khâu thủng ruột non	
949	70	4. Tiêu hóa 	27.173	Phẫu thuật nội soi khâu vết thương ruột non	
950	71	4. Tiêu hóa 	27.307	Phẫu thuật nội soi khâu mạc treo	
					
951	72	4. Tiêu hóa 	27.175	Phẫu thuật nội soi khâu vết thương ruột non + đưa ruột non ra da trên dòng	
952	73	4. Tiêu hóa 	27.176	Phẫu thuật nội soi nối tắt ruột non - ruột non	
953	74	4. Tiêu hóa 	27.21	Phẫu thuật nội soi nối tắt hồi tràng - đại tràng ngang	
954	75	4. Tiêu hóa 	27.211	Phẫu thuật nội soi nối tắt đại tràng - đại tràng	
955	76	4. Tiêu hóa 	27.177	Phẫu thuật nội soi gỡ dính ruột	
956	77	4. Tiêu hóa 	27.179	Phẫu thuật nội soi mở hỗng tràng ra da	
957	78	4. Tiêu hóa 	27.18	Phẫu thuật nội soi mở hồi tràng ra da	
958	79	4. Tiêu hóa 	27.181	Phẫu thuật nội soi mở ruột lấy dị vật	
959	80	4. Tiêu hóa 	27.187	Phẫu thuật nội soi cắt ruột thừa	
960	81	4. Tiêu hóa 	27.188	Phẫu thuật nội soi cắt ruột thừa + rửa bụng	
961	82	4. Tiêu hóa 	27.189	Phẫu thuật nội soi cắt lại mỏm ruột thừa	
962	83	4. Tiêu hóa 	27.192	Phẫu thuật nội soi cắt manh tràng	
963	84	4. Tiêu hóa 	10.51	Các phẫu thuật ruột thừa khác	
964	85	4. Tiêu hóa 	27.193	Phẫu thuật nội soi cắt đại tràng phải	
965	86	4. Tiêu hóa 	27.195	Phẫu thuật nội soi cắt đại tràng phải mở rộng	
966	87	4. Tiêu hóa 	27.197	Phẫu thuật nội soi cắt đại tràng ngang	
967	88	4. Tiêu hóa 	27.199	Phẫu thuật nội soi cắt đại tràng trái	
968	89	4. Tiêu hóa 	27.203	Phẫu thuật nội soi cắt toàn bộ đại tràng	
969	90	4. Tiêu hóa 	27.205	Phẫu thuật nội soi cắt đoạn đại tràng	
970	91	4. Tiêu hóa 	27.212	Phẫu thuật nội soi làm hậu môn nhân tạo	
971	92	4. Tiêu hóa 	27.214	Phẫu thuật nội soi đóng hậu môn nhân tạo	
972	93	4. Tiêu hóa 	27.217	Phẫu thuật nội soi cắt trực tràng thấp	
973	94	4. Tiêu hóa 	27.219	"Phẫu thuật nội soi cắt trực tràng, nối đại tràng - ống hậu môn"	
974	95	4. Tiêu hóa 	27.221	"Phẫu thuật nội soi cắt trực tràng, ống hậu môn ngả bụng và tầng sinh môn"	
975	96	4. Tiêu hóa 	27.223	"Phẫu thuật nội soi cắt trực tràng, đóng mỏm cụt trực tràng, mở hậu môn nhân tạo"	
976	97	4. Tiêu hóa 	27.226	Phẫu thuật nội soi cố định trực tràng + cắt đoạn đại tràng	
977	98	4. Tiêu hóa 	27.232	Phẫu thuật nội soi hạ bóng trực tràng + tạo hình hậu môn một thì	
978	99	4. Tiêu hóa 	27.215	Phẫu thuật nội soi cắt đoạn đại trực tràng	
979	100	4. Tiêu hóa 	27.233	Phẫu thuật nội soi cắt đoạn trực tràng trong điều trị sa trực tràng	
980	101	4. Tiêu hóa 	27.206	Phẫu thuật nội soi cắt túi thừa đại tràng	
981	102	4. Tiêu hóa 	27.227	Phẫu thuật nội soi khâu thủng trực tràng	
982	103	4. Tiêu hóa 	10.535	Phẫu thuật điều trị sa trực tràng đường bụng	
983	104	4. Tiêu hóa 	10.536	Phẫu thuật điều trị sa trực tràng qua đường hậu môn	
984	105	4. Tiêu hóa 	10.546	Các phẫu thuật trực tràng khác	
985	106	4. Tiêu hóa 	27.225	Phẫu thuật nội soi cố định trực tràng	
986	107	4. Tiêu hóa 	10.547	Phẫu thuật cắt 1 búi trĩ	
987	108	4. Tiêu hóa 	10.548	Phẫu thuật lấy trĩ tắc mạch	
988	109	4. Tiêu hóa 	10.551	Phẫu thuật lấy toàn bộ trĩ vòng	
					
989	110	4. Tiêu hóa 	10.554	Phẫu thuật khâu treo và triệt mạch trĩ (THD)	
990	111	4. Tiêu hóa 	10.557	Phẫu thuật điều trị rò hậu môn đơn giản	
991	112	4. Tiêu hóa 	10.565	Phẫu thuật cắt da thừa cạnh hậu môn	
992	113	4. Tiêu hóa 	10.566	Phẫu thuật cắt u nhú ống hậu môn (condylome)	
993	114	4. Tiêu hóa 	10.571	"Phẫu thuật cắt lọc, xử lý vết thương tầng sinh môn đơn giản"	
994	115	4. Tiêu hóa 	27.236	Phẫu thuật nội soi điều trị rò hậu môn	
995	116	4. Tiêu hóa 	10.598	Các phẫu thuật cắt gan khác	
996	117	4. Tiêu hóa 	10.606	Lấy bỏ u gan	
997	118	4. Tiêu hóa 	10.609	Chèn gạc nhu mô gan cầm máu	
998	119	4. Tiêu hóa 	10.61	Lấy máu tụ bao gan	
999	120	4. Tiêu hóa 	10.612	Ghép gan toàn bộ	
1000	121	4. Tiêu hóa 	10.613	Ghép gan bán phần	
1001	122	4. Tiêu hóa 	10.614	Ghép gan phụ trợ	
1002	123	4. Tiêu hóa 	10.618	Thăm dò kết hợp với tiêm cồn hoặc đốt sóng cao tần hoặc áp lạnh	
1003	124	4. Tiêu hóa 	27.237	Phẫu thuật nội soi cắt gan phải	
1004	125	4. Tiêu hóa 	27.238	Phẫu thuật nội soi cắt gan trái	
1005	126	4. Tiêu hóa 	27.239	Phẫu thuật nội soi cắt gan phân thùy trước	
1006	127	4. Tiêu hóa 	27.24	Phẫu thuật nội soi cắt gan phân thùy sau	
1007	128	4. Tiêu hóa 	27.241	Phẫu thuật nội soi cắt gan thùy trái	
1008	129	4. Tiêu hóa 	27.242	Phẫu thuật nội soi cắt gan thùy phải	
1009	130	4. Tiêu hóa 	27.243	Phẫu thuật nội soi cắt gan trung tâm	
1010	131	4. Tiêu hóa 	27.244	Phẫu thuật nội soi cắt gan hạ phân thùy I	
1011	132	4. Tiêu hóa 	27.245	Phẫu thuật nội soi cắt gan hạ phân thùy II	
1012	133	4. Tiêu hóa 	27.246	Phẫu thuật nội soi cắt gan hạ phân thùy III	
1013	134	4. Tiêu hóa 	27.247	Phẫu thuật nội soi cắt gan hạ phân thùy IV	
1014	135	4. Tiêu hóa 	27.248	Phẫu thuật nội soi cắt gan hạ phân thùy IVA	
1015	136	4. Tiêu hóa 	27.249	Phẫu thuật nội soi cắt gan hạ phân thùy IVB	
1016	137	4. Tiêu hóa 	27.25	Phẫu thuật nội soi cắt gan hạ phân thùy V	
1017	138	4. Tiêu hóa 	27.251	Phẫu thuật nội soi cắt gan hạ phân thùy VI	
1018	139	4. Tiêu hóa 	27.252	Phẫu thuật nội soi cắt gan hạ phân thùy VII	
1019	140	4. Tiêu hóa 	27.253	Phẫu thuật nội soi cắt gan hạ phân thùy VIII	
1020	141	4. Tiêu hóa 	27.254	Phẫu thuật nội soi cắt gan hạ phân thùy IV-V	
1021	142	4. Tiêu hóa 	27.255	Phẫu thuật nội soi cắt gan hạ phân thùy V-VI	
1022	143	4. Tiêu hóa 	27.256	Phẫu thuật nội soi cắt gan hạ phân thùy VII-VIII	
1023	144	4. Tiêu hóa 	27.257	Phẫu thuật nội soi cắt gan hạ phân thùy VI-VII-VIII	
1024	145	4. Tiêu hóa 	27.258	Phẫu thuật nội soi cắt gan không điển hình	
1025	146	4. Tiêu hóa 	27.259	Phẫu thuật nội soi khâu cầm máu vỡ gan	
1026	147	4. Tiêu hóa 	27.26	Phẫu thuật nội soi cắt chỏm nang gan	
1027	148	4. Tiêu hóa 	27.261	Phẫu thuật nội soi cắt nang gan	
1028	149	4. Tiêu hóa 	27.263	Phẫu thuật nội soi dẫn lưu áp - xe gan	
1029	150	4. Tiêu hóa 	10.63	Mở miệng nối mật ruột lấy sỏi dẫn lưu Kehr hoặc làm lại miệng nối mật ruột	
					
1030	151	4. Tiêu hóa 	10.624	"Mở ống mật chủ lấy sỏi đường mật, nội soi đường mật"	
1031	152	4. Tiêu hóa 	10.625	"Mở ống mật chủ lấy sỏi đường mật, nội soi tán sỏi đường mật"	
1032	153	4. Tiêu hóa 	10.626	Tán sỏi qua đường hầm Kehr hoặc qua da	
1033	154	4. Tiêu hóa 	10.629	Mở nhu mô gan lấy sỏi	
1034	155	4. Tiêu hóa 	10.631	Các phẫu thuật lấy sỏi mật khác	
1035	156	4. Tiêu hóa 	10.639	Các phẫu thuật đường mật khác	
1036	157	4. Tiêu hóa 	10.634	Nối ngã ba đường mật hoặc ống gan phải hoặc ống gan trái với hỗng tràng	
1037	158	4. Tiêu hóa 	27.265	Phẫu thuật nội soi mở ống mật chủ lấy sỏi	
1038	159	4. Tiêu hóa 	27.278	Phẫu thuật nội soi nối ống mật chủ - hỗng tràng	
1039	160	4. Tiêu hóa 	27.27	Phẫu thuật nội soi lấy sỏi đường mật trong và ngoài gan có dẫn lưu Kehr	
1040	161	4. Tiêu hóa 	3.4021; 27.273 	Phẫu thuật nội soi cắt túi mật	
1041	162	4. Tiêu hóa 	27.274	Phẫu thuật nội soi mở túi mật ra da	
1042	163	4. Tiêu hóa 	27.275	Phẫu thuật nội soi nối túi mật - hỗng tràng	
1043	164	4. Tiêu hóa 	27.276	"Phẫu thuật nội soi cắt nang ống mật chủ, nối ống gan chung - hỗng tràng"	
1044	165	4. Tiêu hóa 	27.279	Phẫu thuật nội soi lấy dị vật trong đường mật	
1045	166	4. Tiêu hóa 	27.502	Phẫu thuật nội soi nối nang ống mật chủ - tá tràng	
1046	167	4. Tiêu hóa 	10.64	Khâu vết thương tụy và dẫn lưu	
1047	168	4. Tiêu hóa 	10.646	"Lấy nhân ở tụy (di căn tụy, u tụy)"	
1048	169	4. Tiêu hóa 	10.641	Dẫn lưu nang tụy	
1049	170	4. Tiêu hóa 	10.663	Các phẫu thuật nối tụy ruột khác	
1050	171	4. Tiêu hóa 	10.672	Các phẫu thuật tụy khác	
1051	172	4. Tiêu hóa 	10.671	Ghép tụy	
1052	173	4. Tiêu hóa 	10.678	Các phẫu thuật lách khác	
1053	174	4. Tiêu hóa 	27.285	Phẫu thuật nội soi cắt khối tá tụy	
1054	175	4. Tiêu hóa 	27.286	Phẫu thuật nội soi cắt toàn bộ tụy	
1055	176	4. Tiêu hóa 	27.287	Phẫu thuật nội soi cắt toàn bộ tụy + cắt lách	
1056	177	4. Tiêu hóa 	27.288	Phẫu thuật nội soi cắt thân và đuôi tụy	
1057	178	4. Tiêu hóa 	27.289	Phẫu thuật nội soi cắt thân và đuôi tụy + cắt lách	
1058	179	4. Tiêu hóa 	27.29	Phẫu thuật nội soi cắt u tụy	
1059	180	4. Tiêu hóa 	27.291	Phẫu thuật nội soi cắt nang tụy	
1060	181	4. Tiêu hóa 	27.294	Phẫu thuật nội soi cắt lọc tụy hoại tử	
1061	182	4. Tiêu hóa 	27.295	Phẫu thuật nội soi dẫn lưu áp xe tụy	
1062	183	4. Tiêu hóa 	27.297	Phẫu thuật nội soi dẫn lưu nang tụy	
1063	184	4. Tiêu hóa 	3.4016; 27.298 	Phẫu thuật nội soi cắt lách	
1064	185	4. Tiêu hóa 	27.3	Phẫu thuật nội soi khâu cầm máu lách	
1065	186	4. Tiêu hóa 	10.679	Phẫu thuật điều trị thoát vị bẹn bằng phương pháp Bassini	
					
1066	187	4. Tiêu hóa 	10.68	Phẫu thuật điều trị thoát vị bẹn bằng phương pháp Shouldice	
1067	188	4. Tiêu hóa 	10.681	Phẫu thuật điều trị thoát vị bẹn bằng phương pháp kết hợp Bassini và Shouldice	
1068	189	4. Tiêu hóa 	10.683	Phẫu thuật điều trị thoát vị bẹn tái phát	
1069	190	4. Tiêu hóa 	10.685	Phẫu thuật điều trị thoát vị đùi	
1070	191	4. Tiêu hóa 	10.686	Phẫu thuật điều trị thoát vị vết mổ thành bụng	
1071	192	4. Tiêu hóa 	10.687	Phẫu thuật điều trị thoát vị thành bụng khác	
1072	193	4. Tiêu hóa 	3.3396	Phẫu thuật thoát vị rốn nghẹt	
1073	194	4. Tiêu hóa 	10.692	Phẫu thuật điều trị thoát vị khe hoành	
1074	195	4. Tiêu hóa 	10.693	Phẫu thuật điều trị thoát vị hoành bẩm sinh (Bochdalek)	
1075	196	4. Tiêu hóa 	3.3278; 10.694 	Phẫu thuật điều trị nhão cơ hoành	
1076	197	4. Tiêu hóa 	10.695	Phẫu thuật cắt u cơ hoành	
1077	198	4. Tiêu hóa 	10.696	Các phẫu thuật cơ hoành khác	
1078	199	4. Tiêu hóa 	10.697	Phẫu thuật cắt u thành bụng	
1079	200	4. Tiêu hóa 	10.699	Khâu vết thương thành bụng	
1080	201	4. Tiêu hóa 	10.7	Các phẫu thuật thành bụng khác	
1081	202	4. Tiêu hóa 	27.313	Phẫu thuật nội soi đặt tấm lưới nhân tạo đường vào hoàn toàn trước phúc mạc (TEP)	
1082	203	4. Tiêu hóa 	27.314	Phẫu thuật nội soi đặt tấm lưới nhân tạo trước phúc mạc đường vào qua ổ bụng (TAPP)	
1083	204	4. Tiêu hóa 	27.315	Phẫu thuật nội soi đặt lưới nhân tạo trong ổ bụng	
1084	205	4. Tiêu hóa 	27.328	Phẫu thuật nội soi khâu thủng cơ hoành	
1085	206	4. Tiêu hóa 	27.327	Phẫu thuật nội soi cắt u sau phúc mạc	
1086	207	4. Tiêu hóa 	10.702	Bóc phúc mạc douglas	
1087	208	4. Tiêu hóa 	10.703	Lấy mạc nối lớn và mạc nối nhỏ	
1088	209	4. Tiêu hóa 	10.704	Bóc phúc mạc bên trái	
1089	210	4. Tiêu hóa 	10.705	Bóc phúc mạc bên phải	
1090	211	4. Tiêu hóa 	10.706	Bóc phúc mạc phủ tạng	
1091	212	4. Tiêu hóa 	3.3328	Phẫu thuật viêm phúc mạc ruột thừa	
1092	213	4. Tiêu hóa 	1.219	Rửa dạ dày loại bỏ chất độc bằng hệ thống kín	
1093	214	4. Tiêu hóa 	2.244	Đặt ống thông dạ dày	
1094	215	4. Tiêu hóa 	1.223; 2.247 	Đặt ống thông hậu môn	
1095	216	4. Tiêu hóa 	2.249	Đo áp lực ổ bụng gián tiếp qua ống thông dẫn lưu bàng quang	
1096	217	4. Tiêu hóa 	2.266	Nội soi can thiệp - nong thực quản bằng bóng	
1097	218	4. Tiêu hóa 	2.264	Nội soi can thiệp - tiêm xơ búi giãn tĩnh mạch thực quản	
1098	219	4. Tiêu hóa 	2.265	Nội soi can thiệp - thắt búi giãn tĩnh mạch thực quản bằng vòng cao su	
1099	220	4. Tiêu hóa 	1.231	Đặt ống thông Blakemore vào thực quản cầm máu	
					
1100	221	4. Tiêu hóa 	2.306; 2.307 	Nội soi đại tràng sigma	
1101	222	4. Tiêu hóa 	2.292	Nội soi hậu môn ống cứng can thiệp - thắt trĩ bằng vòng cao su	
1102	223	4. Tiêu hóa 	2.297	Nội soi hậu môn ống cứng	
1103	224	4. Tiêu hóa 	2.283	Nội soi mật tụy ngược dòng - (ERCP)	
1104	225	4. Tiêu hóa 	2.284	Nội soi mật tụy ngược dòng can thiệp - cắt cơ oddi	
1105	226	4. Tiêu hóa 	2.263	Nội soi mật tụy ngược dòng can thiệp - đặt stent đường mật - tụy	
1106	227	4. Tiêu hóa 	2.274	Nội soi mật tụy ngược dòng can thiệp - nong đường mật bằng bóng	
1107	228	4. Tiêu hóa 	2.278	Nội soi ruột non bóng kép (Double Baloon Endoscopy)	
1108	229	4. Tiêu hóa 	2.279	Nội soi ruột non bóng đơn (Single Baloon Endoscopy)	
1109	230	4. Tiêu hóa 	2.312	Nội soi siêu âm dẫn lưu nang tụy	
1110	231	4. Tiêu hóa 	2.291	Nội soi siêu âm đường tiêu hóa trên	
1111	232	4. Tiêu hóa 	2.255	Nội soi thực quản - dạ dày - tá tràng qua đường mũi	
1112	233	4. Tiêu hóa 	2.337	Thụt thuốc qua đường hậu môn	
1113	234	4. Tiêu hóa 	2.28	Nội soi ruột non bằng viên nang (Capsule endoscopy)	
1114	235	4. Tiêu hóa 	1.308	Đo áp lực thực quản trong thông khí nhân tạo	
